PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
Riverside Dr. Bridge | Roundabout,BIP,90065,1,active,90065,3/9/2009,20000,20000,N/A,"3/25/2010, 4/15/2010",
Aliso Creek Bridges,BIP,91306,3,completed,90065,7/15/2002,18360,15055,N/A,09/25/2002; 02/24/2003; 05/05/2003,7/14/2005
Ave. 19 East + West Bridges,BIP,90031,1,completed,90039,8/28/2002,28000,10000,N/A,1/16/2003,8/27/2005
Corbin and Mason Ave. Bridges,BIP,91367,12,completed,90230,7/22/2002,12300,12300,N/A,9/25/2002,unknown
Ave. 19 Bridges,BIP,90031,1,completed,90291,12/21/2004,28000,10000,N/A,2/5/2005,7/7/2005
Colfax Ave. Bridge over LA River,BIP,91604,2,completed,92086,9/10/2003,37479,10000,N/A,6/28/2006,unknown
Laurel Canyon Blvd. Bridge over Tujunga Wash,BIP,91331,6,completed,91107,2/13/2003,7150,5860,N/A,6/17/2002,unknown
San Fernando Bike Path | Phase 2,BIP,91340,7,completed,90046,7/25/2002,4500,4500,N/A,N/A,unknown
Vanowen St. Bridge over Bull Creek,BIP,91406,6,completed,90731,7/15/2002,8820,7232,N/A,N/A,unknown
State + Soto St. Bridges,BIP,90033,14,completed,90291,8/6/2002,27930,20000,N/A,1/13/2003,unknown
North Broadway Sidehill Viaduct,BIP,90012,1,completed,92870,8/22/2002,22000,18040,N/A,11/7/2002,unknown
Glenoaks Blvd. Bridge over Tujunga Wash,BIP,91352,6,completed,90056,9/22/2003,11702,10000,N/A,3/22/2005,2/1/2009
Tampa Ave. Bridge over LA River,BIP,91335,3,completed,90039,9/22/2003,43000,6000,N/A,3/20/2006,unknown
Winnetka St. Bridge over LA River,BIP,91306,3,completed,90039,9/22/2003,8400,6000,N/A,4/26/2007,unknown
Vanowen St. Bridge over LA River,BIP,91306,3,completed,90039,9/22/2003,34000,6000,N/A,4/26/2007,unknown
La Tijera Blvd. Bridge over Centinela Creek,BIP,90045,11,completed,91741,9/23/2003,15000,10000,N/A,12/7/2004,unknown
US-405 Sepulveda Pass Widening,BIP,90049,5,completed,90065,4/8/2010,25000,25000,N/A,04/08/2010; 04/22/2010; 05/27/2010,unknown
Stoner Recreation Center,Rec+Parks,90025,11,completed,90031,9/7/2000,21450,17000,9/7/2000,11/1/2000,3/3/2003
Yosemite Park Recreation Center,Rec+Parks,90041,14,completed,90039,9/6/2000,16000,14000,9/6/2000,,11/25/2003
Van Nuys/Sherman Oaks Gymnasium,Rec+Parks,91423,4,completed,90045,9/26/2002,16890,13850,9/26/2002,3/12/2003,8/22/2005
Woodland Hills Branch Library,Library,91367,3,completed,90036,9/26/2000,20000,20000,9/26/2000,12/5/2000,unknown
Harbor Police Station | Site-Specific Artwork,Police,90731,15,completed,10013,9/24/2003,309302,253650,9/24/2003,6/16/2004,unknown
South LA Fire Station No. 64,Fire,90061,8,completed,90066,9/23/2003,58434,66000,9/23/2003,1/25/2005,3/19/2009
Winnetka Child Care Center,Rec+Parks,91306,3,completed,92870,9/21/2001,9100,8500,9/21/2001,1/9/2002,11/19/2003
Central Ave. Neighborhood City Hall,BOE,90011,9,completed,90037,9/19/2006,71565,58680,9/19/2006,6/10/2008,9/18/2009
Southern Pacific Slip [#1],Harbor,90744,15,completed,90732,8/8/2011,97026,77500,9/1/2011,n/a,1/14/2013
